Date,Time,Current  (A),Voltage  (mV),     P = I* V
04-01-22,4:12:25,3.05,5.84,17.812
04-01-22,4:12:29,3.1,5.83,18.073
04-01-22,4:12:32,2.66,5.87,15.6142
04-01-22,4:12:36,2.99,6.02,17.9998
04-01-22,4:12:39,2.83,6.18,17.4894
04-01-22,4:12:42,2.9,6.05,17.545
04-01-22,4:12:46,2.9,6.23,18.067
04-01-22,4:12:50,2.68,5.81,15.5708
04-01-22,4:12:54,2.99,6.07,18.1493
04-01-22,4:12:57,2.94,5.95,17.493
04-01-22,4:13:00,3.15,6.03,18.9945
04-01-22,4:13:04,3.07,6.11,18.7577
04-01-22,4:13:07,2.78,5.79,16.0962
04-01-22,4:13:11,2.97,6.1,18.117
04-01-22,4:13:15,3.08,6.17,19.0036
04-01-22,4:13:18,2.74,5.92,16.2208
04-01-22,4:13:21,2.9,6.09,17.661
04-01-22,4:13:25,3.02,6.14,18.5428
04-01-22,4:13:29,3.03,5.79,17.5437
04-01-22,4:13:32,2.71,6.17,16.7207
04-01-22,4:13:36,2.83,5.78,16.3574
04-01-22,4:13:39,3.06,6.11,18.6966
04-01-22,4:13:43,2.91,5.76,16.7616
04-01-22,4:13:47,3.06,5.98,18.2988
04-01-22,4:13:50,2.76,6.07,16.7532
04-01-22,4:13:54,2.67,5.86,15.6462
04-01-22,4:13:58,3,6.18,18.54
04-01-22,4:14:02,2.91,5.92,17.2272
04-01-22,4:14:05,2.82,5.85,16.497
04-01-22,4:14:09,3.1,5.97,18.507
04-01-22,4:14:12,3.17,5.89,18.6713
04-01-22,4:14:16,2.92,6.13,17.8996
04-01-22,4:14:19,2.99,6.09,18.2091
04-01-22,4:14:22,2.81,5.83,16.3823
04-01-22,4:14:26,2.8,6.11,17.108
04-01-22,4:14:30,2.67,5.88,15.6996
04-01-22,4:14:33,2.82,5.84,16.4688
04-01-22,4:14:37,2.72,6.24,16.9728
04-01-22,4:14:41,3.05,5.92,18.056
04-01-22,4:14:44,3.07,6.07,18.6349
04-01-22,4:14:47,2.95,5.83,17.1985
04-01-22,4:14:51,2.95,5.78,17.051
04-01-22,4:14:54,3.08,5.86,18.0488
04-01-22,4:14:58,3.1,6.18,19.158
04-01-22,4:15:01,3.01,5.76,17.3376
04-01-22,4:15:04,3.14,6.02,18.9028
04-01-22,4:15:08,2.8,6.23,17.444
04-01-22,4:15:12,2.86,5.78,16.5308
04-01-22,4:15:15,2.96,5.9,17.464
04-01-22,4:15:19,2.75,5.93,16.3075
04-01-22,4:15:23,3.09,6.18,19.0962
04-01-22,4:15:26,2.94,6.1,17.934
04-01-22,4:15:30,2.93,6.14,17.9902
04-01-22,4:15:33,2.9,5.81,16.849
04-01-22,4:15:37,2.72,6.11,16.6192
04-01-22,4:15:40,3,6.04,18.12
04-01-22,4:15:44,2.85,6.07,17.2995
04-01-22,4:15:47,2.79,5.94,16.5726
04-01-22,4:15:51,2.74,6.09,16.6866
04-01-22,4:15:54,2.84,5.89,16.7276
04-01-22,4:15:58,2.83,6.18,17.4894
04-01-22,4:16:01,2.97,6.13,18.2061
04-01-22,4:16:05,2.88,6.02,17.3376
04-01-22,4:16:08,3.03,5.83,17.6649
04-01-22,4:16:11,2.93,6.06,17.7558
04-01-22,4:16:15,3.03,6.25,18.9375
04-01-22,4:16:19,2.7,5.95,16.065
04-01-22,4:16:22,2.67,5.85,15.6195
04-01-22,4:16:26,3.01,5.81,17.4881
04-01-22,4:16:29,2.69,6.07,16.3283
04-01-22,4:16:33,3.06,6.13,18.7578
04-01-22,4:16:37,3.01,5.94,17.8794
04-01-22,4:16:40,3.14,6.1,19.154
04-01-22,4:16:44,3.03,5.95,18.0285
04-01-22,4:16:48,2.89,5.76,16.6464
04-01-22,4:16:51,2.78,6,16.68
04-01-22,4:16:54,2.73,5.85,15.9705
04-01-22,4:16:58,3,6.08,18.24
04-01-22,4:17:02,3.02,5.86,17.6972
04-01-22,4:17:05,3.01,6.04,18.1804
04-01-22,4:17:09,2.83,6.16,17.4328
04-01-22,4:17:12,2.71,5.76,15.6096
04-01-22,4:17:16,3.03,6.03,18.2709
04-01-22,4:17:19,2.86,5.77,16.5022
04-01-22,4:17:23,3.16,6.09,19.2444
04-01-22,4:17:26,3.04,5.76,17.5104
04-01-22,4:17:30,3.04,6.17,18.7568
04-01-22,4:17:34,2.65,5.78,15.317
04-01-22,4:17:37,3.16,6.16,19.4656
04-01-22,4:17:41,3.04,6.2,18.848
04-01-22,4:17:45,2.89,6.11,17.6579
04-01-22,4:17:49,2.68,5.88,15.7584
04-01-22,4:17:53,3.15,6.21,19.5615
04-01-22,4:17:56,2.8,5.96,16.688
04-01-22,4:17:59,2.67,6.14,16.3938
04-01-22,4:18:03,3.13,6.08,19.0304
04-01-22,4:18:07,2.82,6,16.92
04-01-22,4:18:10,2.98,5.97,17.7906
04-01-22,4:18:14,2.82,5.81,16.3842
04-01-22,4:18:18,3.11,5.9,18.349
04-01-22,4:18:21,3.09,5.83,18.0147
04-01-22,4:18:24,2.75,6.22,17.105
04-01-22,4:18:28,3.03,5.77,17.4831
04-01-22,4:18:31,2.8,6.23,17.444
04-01-22,4:18:35,3.15,5.95,18.7425
04-01-22,4:18:39,2.96,5.81,17.1976
04-01-22,4:18:42,2.89,5.93,17.1377
04-01-22,4:18:46,3,6.24,18.72
04-01-22,4:18:50,2.69,5.94,15.9786
04-01-22,4:18:54,2.7,6.22,16.794
04-01-22,4:18:57,3.14,6.17,19.3738
04-01-22,4:19:00,2.75,5.88,16.17
04-01-22,4:19:04,2.98,5.98,17.8204
04-01-22,4:19:08,3.17,6.08,19.2736
04-01-22,4:19:12,2.67,6.04,16.1268
04-01-22,4:19:15,2.69,6.11,16.4359
04-01-22,4:19:19,2.93,5.9,17.287
04-01-22,4:19:22,2.94,5.78,16.9932
04-01-22,4:19:25,2.9,6.14,17.806
04-01-22,4:19:29,2.8,6.18,17.304
04-01-22,4:19:32,2.87,6.13,17.5931
04-01-22,4:19:36,2.66,6.11,16.2526
04-01-22,4:19:40,3.17,6.2,19.654
04-01-22,4:19:43,2.7,5.79,15.633
04-01-22,4:19:47,2.77,6.04,16.7308
04-01-22,4:19:51,2.78,6.05,16.819
04-01-22,4:19:54,3.03,6.16,18.6648
04-01-22,4:19:58,2.94,5.97,17.5518
04-01-22,4:20:02,3.11,6.17,19.1887
04-01-22,4:20:05,3.13,5.99,18.7487
04-01-22,4:20:09,2.78,5.91,16.4298
04-01-22,4:20:13,2.9,6.06,17.574
04-01-22,4:20:16,2.85,5.92,16.872
04-01-22,4:20:20,2.75,6.22,17.105
04-01-22,4:20:23,2.67,6.02,16.0734
04-01-22,4:20:27,2.82,6.17,17.3994
04-01-22,4:20:30,3.06,5.88,17.9928
04-01-22,4:20:33,2.95,5.96,17.582
04-01-22,4:20:37,3.06,6.06,18.5436
04-01-22,4:20:41,2.82,5.97,16.8354
04-01-22,4:20:44,2.99,6.21,18.5679
04-01-22,4:20:48,2.9,6.13,17.777
04-01-22,4:20:51,2.67,6.13,16.3671
04-01-22,4:20:54,2.78,6.17,17.1526
04-01-22,4:20:58,2.73,5.84,15.9432
04-01-22,4:21:01,2.75,5.98,16.445
04-01-22,4:21:05,2.83,6.22,17.6026
04-01-22,4:21:09,2.9,5.81,16.849
04-01-22,4:21:12,3.04,5.85,17.784
04-01-22,4:21:16,3.17,6.02,19.0834
04-01-22,4:21:19,2.95,5.92,17.464
04-01-22,4:21:22,2.77,5.92,16.3984
04-01-22,4:21:26,2.92,6.22,18.1624
04-01-22,4:21:29,2.95,5.86,17.287
04-01-22,4:21:33,2.8,5.97,16.716
04-01-22,4:21:36,2.83,6.11,17.2913
04-01-22,4:21:40,2.83,5.85,16.5555
04-01-22,4:21:43,2.69,6.15,16.5435
04-01-22,4:21:47,2.83,6.11,17.2913
04-01-22,4:21:50,3.15,6.13,19.3095
04-01-22,4:21:54,2.73,5.81,15.8613
04-01-22,4:21:57,2.76,5.8,16.008
04-01-22,4:22:01,2.77,6.23,17.2571
04-01-22,4:22:04,2.94,6.17,18.1398
04-01-22,4:22:08,3.16,5.79,18.2964
04-01-22,4:22:12,2.68,6.15,16.482
04-01-22,4:22:16,2.81,5.89,16.5509
04-01-22,4:22:19,2.78,5.99,16.6522
04-01-22,4:22:23,2.84,6.02,17.0968
04-01-22,4:22:26,2.84,5.97,16.9548
04-01-22,4:22:30,2.78,6.08,16.9024
04-01-22,4:22:33,2.92,6.12,17.8704
04-01-22,4:22:36,2.75,6.24,17.16
04-01-22,4:22:40,2.69,6.18,16.6242
04-01-22,4:22:43,3.04,5.82,17.6928
04-01-22,4:22:47,3.06,5.88,17.9928
04-01-22,4:22:50,2.95,5.87,17.3165
04-01-22,4:22:53,3.1,6.05,18.755
04-01-22,4:22:57,3.04,5.87,17.8448
04-01-22,4:23:00,2.8,6.11,17.108
04-01-22,4:23:03,2.76,6.24,17.2224
04-01-22,4:23:07,2.89,5.77,16.6753
04-01-22,4:23:11,2.72,5.84,15.8848
04-01-22,4:23:15,3.08,5.8,17.864
04-01-22,4:23:18,3,5.85,17.55
04-01-22,4:23:22,2.67,6.22,16.6074
04-01-22,4:23:25,2.83,5.96,16.8668
04-01-22,4:23:29,2.84,6.11,17.3524
04-01-22,4:23:32,2.68,6.12,16.4016
04-01-22,4:23:36,2.68,6.19,16.5892
04-01-22,4:23:39,2.98,5.81,17.3138
04-01-22,4:24:36,2.68,5.79,15.5172
04-01-22,4:24:40,2.68,5.93,15.8924
04-01-22,4:24:43,3.16,6.07,19.1812
04-01-22,4:24:47,2.71,6.19,16.7749
04-01-22,4:24:51,2.75,5.93,16.3075
04-01-22,4:24:54,3.14,5.95,18.683
04-01-22,4:24:57,2.68,5.84,15.6512
04-01-22,4:25:01,2.94,5.84,17.1696
04-01-22,4:25:05,3.14,6.24,19.5936
04-01-22,4:25:08,2.66,5.85,15.561
04-01-22,4:25:11,2.76,5.77,15.9252
04-01-22,4:25:15,3.17,6.03,19.1151
04-01-22,4:25:18,2.91,6.21,18.0711
04-01-22,4:25:21,2.79,5.77,16.0983
04-01-22,4:25:25,2.66,6.03,16.0398
04-01-22,4:25:28,3.1,5.95,18.445
04-01-22,4:25:32,3.17,5.96,18.8932
04-01-22,4:25:35,3.13,5.8,18.154
04-01-22,4:25:39,2.88,6.01,17.3088
04-01-22,4:25:43,3.01,5.87,17.6687
04-01-22,4:25:46,3.14,5.93,18.6202
04-01-22,4:25:50,3.07,6.05,18.5735
04-01-22,4:25:53,2.78,6.16,17.1248
04-01-22,4:25:57,3.14,6.15,19.311
04-01-22,4:26:00,2.94,6.19,18.1986
04-01-22,4:26:03,2.71,5.79,15.6909
04-01-22,4:26:07,2.73,6.03,16.4619
04-01-22,4:26:12,3.14,6.18,19.4052
04-01-22,4:26:16,3.02,6.16,18.6032
04-01-22,4:26:19,2.82,6.09,17.1738
04-01-22,4:26:23,2.87,6.19,17.7653
04-01-22,4:26:26,2.83,5.88,16.6404
04-01-22,4:26:30,3.02,6.14,18.5428
04-01-22,4:26:34,2.82,5.85,16.497
04-01-22,4:26:37,3.05,6.23,19.0015
04-01-22,4:26:40,2.97,6.06,17.9982
04-01-22,4:26:44,2.96,5.84,17.2864
04-01-22,4:26:47,3.06,5.79,17.7174
04-01-22,4:26:51,2.99,6.12,18.2988
04-01-22,4:26:54,3.06,6,18.36
04-01-22,4:26:58,2.75,5.83,16.0325
04-01-22,4:27:01,2.97,6.24,18.5328
04-01-22,4:27:05,2.86,5.8,16.588
04-01-22,4:27:09,2.84,6.21,17.6364
04-01-22,4:27:13,2.74,6.23,17.0702
04-01-22,4:27:16,2.84,6.24,17.7216
04-01-22,4:27:19,2.74,6.14,16.8236
04-01-22,4:27:23,2.99,5.88,17.5812
04-01-22,4:27:26,3.07,6.01,18.4507
04-01-22,4:27:30,3.15,5.99,18.8685
04-01-22,4:27:34,2.7,5.9,15.93
04-01-22,4:27:37,2.98,6.05,18.029
04-01-22,4:27:41,3.05,6.09,18.5745
04-01-22,4:27:45,2.77,6.07,16.8139
04-01-22,4:27:48,2.8,6.18,17.304
04-01-22,4:27:52,3.08,6.22,19.1576
04-01-22,4:27:55,2.84,6.18,17.5512
04-01-22,4:27:59,2.68,6.22,16.6696
04-01-22,4:28:02,2.99,6,17.94
04-01-22,4:28:05,3.15,5.98,18.837
04-01-22,4:28:09,2.76,6.01,16.5876
04-01-22,4:28:12,2.95,5.82,17.169
04-01-22,4:28:16,2.99,6.11,18.2689
04-01-22,4:28:19,3.06,5.96,18.2376
04-01-22,4:28:23,3.03,5.99,18.1497
04-01-22,4:28:27,2.95,5.95,17.5525
04-01-22,4:28:32,2.79,6.21,17.3259
04-01-22,4:28:36,2.85,6.13,17.4705
04-01-22,4:28:39,2.78,6.21,17.2638
04-01-22,4:28:43,2.7,5.85,15.795
04-01-22,4:28:46,3.15,5.77,18.1755
04-01-22,4:28:50,2.92,6.12,17.8704
04-01-22,4:28:53,3.12,6.15,19.188
04-01-22,4:28:57,2.76,6.23,17.1948
04-01-22,4:29:01,2.72,6.02,16.3744
04-01-22,4:29:04,2.82,6.07,17.1174
04-01-22,4:29:07,3.05,5.83,17.7815
04-01-22,4:29:11,3.01,6.03,18.1503
04-01-22,4:29:15,3.15,6.24,19.656
04-01-22,4:29:18,2.71,5.97,16.1787
04-01-22,4:29:21,2.96,5.92,17.5232
04-01-22,4:29:25,2.97,5.78,17.1666
04-01-22,4:29:29,3.1,5.87,18.197
04-01-22,4:29:32,2.83,6.07,17.1781
04-01-22,4:29:35,2.94,6.15,18.081
04-01-22,4:29:39,3.05,5.93,18.0865
04-01-22,4:29:42,3.1,6.18,19.158
04-01-22,4:29:46,2.82,5.8,16.356
04-01-22,4:29:50,3.01,5.98,17.9998
04-01-22,4:29:54,2.94,6.04,17.7576
04-01-22,4:29:57,3.17,5.99,18.9883
04-01-22,4:30:01,3.15,6.08,19.152
04-01-22,4:30:04,2.65,5.93,15.7145
04-01-22,4:30:08,2.84,5.89,16.7276
04-01-22,4:30:11,2.78,5.88,16.3464
04-01-22,4:30:15,2.8,6.1,17.08
04-01-22,4:30:19,2.68,6.24,16.7232
04-01-22,4:30:22,3.09,5.93,18.3237
04-01-22,4:30:26,2.81,5.91,16.6071
04-01-22,4:30:29,2.91,5.88,17.1108
04-01-22,4:30:33,2.82,6.01,16.9482
04-01-22,4:30:36,2.8,5.9,16.52
04-01-22,4:30:40,3.12,5.93,18.5016
04-01-22,4:30:43,2.7,6.22,16.794
04-01-22,4:30:47,3.13,5.76,18.0288
04-01-22,4:30:50,2.76,5.92,16.3392
04-01-22,4:30:54,2.71,6.01,16.2871
04-01-22,4:30:57,2.68,5.79,15.5172
04-01-22,4:31:00,2.85,5.83,16.6155
04-01-22,4:31:04,2.85,5.88,16.758
04-01-22,4:31:08,2.88,5.96,17.1648
04-01-22,4:31:11,2.7,6.14,16.578
04-01-22,4:31:14,2.76,5.84,16.1184
04-01-22,4:31:18,2.85,6.16,17.556
04-01-22,4:31:22,2.8,6.23,17.444
04-01-22,4:31:25,3.01,6.24,18.7824
04-01-22,4:31:28,3.04,6.04,18.3616
04-01-22,4:31:32,2.84,6.01,17.0684
04-01-22,4:31:36,3.05,6.01,18.3305
04-01-22,4:31:39,2.81,6.08,17.0848
04-01-22,4:31:42,3.05,6.03,18.3915
04-01-22,4:31:46,2.82,6.21,17.5122
04-01-22,4:31:49,2.86,5.8,16.588
04-01-22,4:31:52,2.92,5.84,17.0528
04-01-22,4:31:56,2.82,5.78,16.2996
04-01-22,4:31:59,2.81,5.77,16.2137
04-01-22,4:32:03,2.7,6.13,16.551
04-01-22,4:32:06,2.89,6.22,17.9758
04-01-22,4:32:10,3.14,5.94,18.6516
04-01-22,4:32:16,2.89,5.79,16.7331
04-01-22,4:32:19,3.13,5.79,18.1227
04-01-22,4:32:22,2.88,6.16,17.7408
04-01-22,4:32:26,3.02,6.1,18.422
04-01-22,4:32:29,2.85,5.91,16.8435
04-01-22,4:32:33,2.71,6.24,16.9104
04-01-22,4:32:36,2.8,6.21,17.388
04-01-22,4:32:40,3.08,6.08,18.7264
04-01-22,4:32:43,3.06,5.8,17.748
04-01-22,4:32:47,3.01,5.87,17.6687
04-01-22,4:32:50,2.73,5.88,16.0524
04-01-22,4:32:54,2.99,6.21,18.5679
04-01-22,4:32:57,3.13,6.02,18.8426
04-01-22,4:33:01,2.71,6.22,16.8562
04-01-22,4:33:04,2.94,6.03,17.7282
04-01-22,4:33:08,3.17,6.06,19.2102
04-01-22,4:33:12,3.07,5.93,18.2051
04-01-22,4:33:15,2.85,5.84,16.644
04-01-22,4:33:20,2.72,6.16,16.7552
04-01-22,4:33:23,3.06,5.8,17.748
04-01-22,4:33:27,2.7,6.16,16.632
04-01-22,4:33:30,2.77,5.93,16.4261
04-01-22,4:33:34,2.95,5.82,17.169
04-01-22,4:33:37,2.95,6.09,17.9655
04-01-22,4:33:42,3.13,5.8,18.154
04-01-22,4:33:46,3.02,5.8,17.516
04-01-22,4:33:49,3.01,6.2,18.662
04-01-22,4:33:53,2.72,5.95,16.184
04-01-22,4:33:56,2.67,5.76,15.3792
04-01-22,4:34:00,2.81,6.22,17.4782
04-01-22,4:34:03,3.11,6.04,18.7844
04-01-22,4:34:07,3.01,5.84,17.5784
04-01-22,4:34:11,2.91,5.92,17.2272
04-01-22,4:34:15,2.72,5.82,15.8304
04-01-22,4:34:18,3.06,5.76,17.6256
04-01-22,4:34:22,2.91,5.78,16.8198
04-01-22,4:34:25,3.1,6.03,18.693
04-01-22,4:34:29,3.13,5.94,18.5922
04-01-22,4:34:32,3.01,6.15,18.5115
04-01-22,4:34:36,2.99,5.95,17.7905
04-01-22,4:34:39,2.85,6.07,17.2995
04-01-22,4:34:43,2.9,5.76,16.704
04-01-22,4:34:47,3.14,6.07,19.0598
04-01-22,4:34:51,2.69,6.08,16.3552
04-01-22,4:34:54,2.71,5.81,15.7451
04-01-22,4:34:58,2.85,6.17,17.5845
04-01-22,4:35:01,3.08,5.86,18.0488
04-01-22,4:35:05,2.65,6.13,16.2445
04-01-22,4:35:08,2.85,5.89,16.7865
04-01-22,4:35:12,2.86,6.05,17.303
04-01-22,4:35:15,3.09,6.01,18.5709
04-01-22,4:35:19,3.04,6.11,18.5744
04-01-22,4:35:23,2.98,6.02,17.9396
04-01-22,4:35:26,3.13,5.95,18.6235
04-01-22,4:35:30,2.65,6.08,16.112
04-01-22,4:35:33,2.83,6.21,17.5743
04-01-22,4:35:37,3.12,5.83,18.1896
04-01-22,4:35:40,3.1,5.93,18.383
04-01-22,4:35:44,3,6.11,18.33
04-01-22,4:35:47,2.87,6.21,17.8227
04-01-22,4:35:51,2.72,5.76,15.6672
04-01-22,4:35:54,2.89,5.81,16.7909
04-01-22,4:35:58,2.67,5.9,15.753
04-01-22,4:36:01,3.02,5.78,17.4556
04-01-22,4:36:05,2.74,5.85,16.029
04-01-22,4:36:08,2.94,5.88,17.2872
04-01-22,4:36:12,2.77,6.18,17.1186
04-01-22,4:36:16,2.79,5.79,16.1541
04-01-22,4:36:19,2.87,6.1,17.507
04-01-22,4:36:23,2.9,5.84,16.936
04-01-22,4:36:26,2.95,6.04,17.818
04-01-22,4:36:29,2.69,6.23,16.7587
04-01-22,4:36:33,3.05,6.23,19.0015
04-01-22,4:36:37,2.99,5.85,17.4915
04-01-22,4:36:40,3,5.95,17.85
04-01-22,4:36:44,2.9,6.02,17.458
04-01-22,4:36:47,2.85,5.87,16.7295
04-01-22,4:36:51,3.11,6.13,19.0643
04-01-22,4:36:54,3.08,6.17,19.0036
04-01-22,4:36:58,2.7,5.79,15.633
04-01-22,4:37:02,2.82,6.03,17.0046
04-01-22,4:37:05,2.77,5.91,16.3707
04-01-22,4:37:09,2.96,5.86,17.3456
04-01-22,4:37:12,2.75,6.05,16.6375
04-01-22,4:37:15,2.71,6.22,16.8562
04-01-22,4:37:19,2.87,6.01,17.2487
04-01-22,4:37:22,2.68,5.91,15.8388
04-01-22,4:37:26,2.72,6.13,16.6736
04-01-22,4:37:30,2.7,5.76,15.552
04-01-22,4:37:33,3.17,6.21,19.6857
04-01-22,4:37:36,2.67,6.2,16.554
04-01-22,4:37:40,2.9,6.08,17.632
04-01-22,4:37:43,3.16,6.01,18.9916
04-02-22,4:37:47,2.92,6,17.52
04-02-22,4:37:50,3.03,5.98,18.1194
04-02-22,4:37:54,2.83,6.15,17.4045
04-02-22,4:37:58,3.15,6.24,19.656
04-02-22,4:38:02,2.75,5.9,16.225
04-02-22,4:38:05,3.09,6.18,19.0962
04-02-22,4:38:08,2.67,5.95,15.8865
04-02-22,4:38:12,3.11,6.09,18.9399
04-02-22,4:38:15,2.67,5.89,15.7263
04-02-22,4:38:19,2.76,6.08,16.7808
04-02-22,4:38:22,3.06,6.14,18.7884
04-02-22,4:38:25,2.66,6.1,16.226
04-02-22,4:38:29,3.14,6.2,19.468
04-02-22,4:38:33,2.72,6.05,16.456
04-02-22,4:38:37,2.85,6.09,17.3565
04-02-22,4:38:40,2.85,6.05,17.2425
04-02-22,4:38:44,2.65,5.8,15.37
04-02-22,4:38:47,2.83,5.84,16.5272
